"HospitalAdmitRateDateRange","SevDayHospAdmitCount","SevDayHospAdmitRatePer100K","Population"
"2021-04-24  to  2021-04-30",530,6.92000,7656200
"2021-04-25  to  2021-05-01",516,6.74000,7656200
"2021-04-26  to  2021-05-02",501,6.54000,7656200
"2021-04-27  to  2021-05-03",510,6.66000,7656200
"2021-04-28  to  2021-05-04",530,6.92000,7656200
"2021-04-29  to  2021-05-05",543,7.09000,7656200
"2021-04-30  to  2021-05-06",551,7.20000,7656200
"2021-05-01  to  2021-05-07",538,7.03000,7656200
"2021-05-02  to  2021-05-08",548,7.16000,7656200
"2021-05-03  to  2021-05-09",540,7.05000,7656200
"2021-05-04  to  2021-05-10",543,7.09000,7656200
"2021-05-05  to  2021-05-11",539,7.04000,7656200
"2021-05-06  to  2021-05-12",526,6.87000,7656200
"2021-05-07  to  2021-05-13",510,6.66000,7656200
"2021-05-08  to  2021-05-14",524,6.84000,7656200
"2021-05-09  to  2021-05-15",510,6.66000,7656200
"2021-05-10  to  2021-05-16",496,6.48000,7656200
"2021-05-11  to  2021-05-17",474,6.19000,7656200
"2021-05-12  to  2021-05-18",477,6.23000,7656200
"2021-05-13  to  2021-05-19",466,6.09000,7656200
"2021-05-14  to  2021-05-20",464,6.06000,7656200
"2021-05-15  to  2021-05-21",487,6.36000,7656200
"2021-05-16  to  2021-05-22",490,6.40000,7656200
"2021-05-17  to  2021-05-23",489,6.39000,7656200
"2021-05-18  to  2021-05-24",510,6.66000,7656200
"2021-05-19  to  2021-05-25",500,6.53000,7656200
"2021-05-20  to  2021-05-26",494,6.45000,7656200
"2021-05-21  to  2021-05-27",479,6.26000,7656200
"2021-05-22  to  2021-05-28",425,5.55000,7656200
"2021-05-23  to  2021-05-29",415,5.42000,7656200
"2021-05-24  to  2021-05-30",417,5.45000,7656200
"2021-05-25  to  2021-05-31",378,4.94000,7656200
"2021-05-26  to  2021-06-01",364,4.75000,7656200
"2021-05-27  to  2021-06-02",367,4.79000,7656200
"2021-05-28  to  2021-06-03",370,4.83000,7656200
"2021-05-29  to  2021-06-04",384,5.02000,7656200
"2021-05-30  to  2021-06-05",377,4.92000,7656200
"2021-05-31  to  2021-06-06",373,4.87000,7656200
"2021-06-01  to  2021-06-07",387,5.05000,7656200
"2021-06-02  to  2021-06-08",374,4.88000,7656200
"2021-06-03  to  2021-06-09",361,4.72000,7656200
"2021-06-04  to  2021-06-10",342,4.47000,7656200
"2021-06-05  to  2021-06-11",325,4.24000,7656200
"2021-06-06  to  2021-06-12",325,4.24000,7656200
"2021-06-07  to  2021-06-13",314,4.10000,7656200
"2021-06-08  to  2021-06-14",285,3.72000,7656200
"2021-06-09  to  2021-06-15",261,3.41000,7656200
"2021-06-10  to  2021-06-16",254,3.32000,7656200
"2021-06-11  to  2021-06-17",242,3.16000,7656200
"2021-06-12  to  2021-06-18",237,3.10000,7656200
"2021-06-13  to  2021-06-19",234,3.06000,7656200
"2021-06-14  to  2021-06-20",231,3.02000,7656200
"2021-06-15  to  2021-06-21",248,3.24000,7656200
"2021-06-16  to  2021-06-22",268,3.50000,7656200
"2021-06-17  to  2021-06-23",267,3.49000,7656200
"2021-06-18  to  2021-06-24",279,3.64000,7656200
"2021-06-19  to  2021-06-25",281,3.67000,7656200
"2021-06-20  to  2021-06-26",270,3.53000,7656200
"2021-06-21  to  2021-06-27",265,3.46000,7656200
"2021-06-22  to  2021-06-28",223,2.91000,7656200
"2021-06-23  to  2021-06-29",220,2.87000,7656200
"2021-06-24  to  2021-06-30",212,2.77000,7656200
"2021-06-25  to  2021-07-01",219,2.86000,7656200
"2021-06-26  to  2021-07-02",220,2.87000,7656200
"2021-06-27  to  2021-07-03",240,3.13000,7656200
"2021-06-28  to  2021-07-04",241,3.15000,7656200
"2021-06-29  to  2021-07-05",263,3.44000,7656200
"2021-06-30  to  2021-07-06",243,3.17000,7656200
